id,Time,Inttraffic,Is_weekend
1,6/7/2005 7:00,3562279127,
1,6/7/2005 7:05,3710215571,
1,6/7/2005 7:10,3877469703,
1,6/7/2005 7:15,3876354871,
1,6/7/2005 7:20,4582542581,
1,6/7/2005 7:25,5016336869,
1,6/7/2005 7:30,5202513642,
1,6/7/2005 7:35,5410604985,
1,6/7/2005 7:40,5408071320,
1,6/7/2005 7:45,5598048880,
1,6/7/2005 7:50,5268183974,
1,6/7/2005 7:55,5205965910,
1,6/7/2005 8:00,5554284558,
1,6/7/2005 8:05,6071804752,
1,6/7/2005 8:10,6533409311,
1,6/7/2005 8:15,6432612096,
1,6/7/2005 8:20,6422634291,
1,6/7/2005 8:25,6413343245,
1,6/7/2005 8:30,6438472853,
1,6/7/2005 8:35,6593321117,
1,6/7/2005 8:40,6386798311,
1,6/7/2005 8:45,6402829429,
1,6/7/2005 8:50,6448640206,
1,6/7/2005 8:55,6758012799,
1,6/7/2005 9:00,6897537181,
1,6/7/2005 9:05,6625683956,
1,6/7/2005 9:10,6786593033,
1,6/7/2005 9:15,6741090851,
1,6/7/2005 9:20,6857892154,
1,6/7/2005 9:25,6885633911,
1,6/7/2005 9:30,7036186201,
1,6/7/2005 9:35,7182820092,
1,6/7/2005 9:40,6897783063,
1,6/7/2005 9:45,6802926206,
1,6/7/2005 9:50,6856304069,
1,6/7/2005 9:55,6963587768,
1,6/7/2005 10:00,7283565230,
1,6/7/2005 10:05,7294355973,
1,6/7/2005 10:10,7277773691,
1,6/7/2005 10:15,7327652118,
1,6/7/2005 10:20,7411935065,
1,6/7/2005 10:25,7559621824,
1,6/7/2005 10:30,7464144357,
1,6/7/2005 10:35,7556335967,
1,6/7/2005 10:40,7531158925,
1,6/7/2005 10:45,7451588318,
1,6/7/2005 10:50,7251552599,
1,6/7/2005 10:55,7387311025,
1,6/7/2005 11:00,7534902212,
1,6/7/2005 11:05,7669462738,
1,6/7/2005 11:10,7806347806,
1,6/7/2005 11:15,7633844064,
1,6/7/2005 11:20,7666925195,
1,6/7/2005 11:25,7520164584,
1,6/7/2005 11:30,7501747391,
1,6/7/2005 11:35,7767857531,
1,6/7/2005 11:40,7232609101,
1,6/7/2005 11:45,7274338276,
1,6/7/2005 11:50,7408981176,
1,6/7/2005 11:55,7230742271,
1,6/7/2005 12:00,7354167649,
1,6/7/2005 12:05,7107897687,
1,6/7/2005 12:10,7295721127,
1,6/7/2005 12:15,7080999121,
1,6/7/2005 12:20,7606453644,
1,6/7/2005 12:25,7642015997,
1,6/7/2005 12:30,7848884725,
1,6/7/2005 12:35,7724196995,
1,6/7/2005 12:40,7650962743,
1,6/7/2005 12:45,7753904748,
1,6/7/2005 12:50,7744009419,
1,6/7/2005 12:55,7336903262,
1,6/7/2005 13:00,7485654677,
1,6/7/2005 13:05,7513611244,
1,6/7/2005 13:10,7644185813,
1,6/7/2005 13:15,7414962086,
1,6/7/2005 13:20,7514644125,
1,6/7/2005 13:25,7445178236,
1,6/7/2005 13:30,7294385873,
1,6/7/2005 13:35,7233354647,
1,6/7/2005 13:40,7332941859,
1,6/7/2005 13:45,7513492139,
1,6/7/2005 13:50,7528727688,
1,6/7/2005 13:55,8536272286,
1,6/7/2005 14:00,7724842582,
1,6/7/2005 14:05,7599001549,
1,6/7/2005 14:10,7348468015,
1,6/7/2005 14:15,7326327200,
1,6/7/2005 14:20,7639506670,
1,6/7/2005 14:25,7802449354,
1,6/7/2005 14:30,7485672218,
1,6/7/2005 14:35,7354957743,
1,6/7/2005 14:40,7497015314,
1,6/7/2005 14:45,7235630142,
1,6/7/2005 14:50,7434386233,
1,6/7/2005 14:55,7519403839,
1,6/7/2005 15:00,7403087775,
1,6/7/2005 15:05,7366791574,
1,6/7/2005 15:10,7577678754,
1,6/7/2005 15:15,7326687210,
1,6/7/2005 15:20,7259778835,
1,6/7/2005 15:25,7499146875,
1,6/7/2005 15:30,7530745790,
1,6/7/2005 15:35,7054149566,
1,6/7/2005 15:40,7134469847,
1,6/7/2005 15:45,7081949563,
1,6/7/2005 15:50,6953665837,
1,6/7/2005 15:55,7023590624,
1,6/7/2005 16:00,6759900139,
1,6/7/2005 16:05,6530131152,
1,6/7/2005 16:10,6447105457,
1,6/7/2005 16:15,6330514608,
1,6/7/2005 16:20,6331684427,
1,6/7/2005 16:25,6223271197,
1,6/7/2005 16:30,6202872405,
1,6/7/2005 16:35,5914776765,
1,6/7/2005 16:40,5917454777,
1,6/7/2005 16:45,5921237644,
1,6/7/2005 16:50,5640499083,
1,6/7/2005 16:55,5391187185,
1,6/7/2005 17:00,5349731374,
1,6/7/2005 17:05,5306831763,
1,6/7/2005 17:10,4924258813,
1,6/7/2005 17:15,4870140499,
1,6/7/2005 17:20,5051888264,
1,6/7/2005 17:25,4936297774,
1,6/7/2005 17:30,4670716971,
1,6/7/2005 17:35,4336637893,
1,6/7/2005 17:40,4315527574,
1,6/7/2005 17:45,4234212594,
1,6/7/2005 17:50,4403446516,
1,6/7/2005 17:55,4295636203,
1,6/7/2005 18:00,4158312131,
1,6/7/2005 18:05,3994767281,
1,6/7/2005 18:10,3981376101,
1,6/7/2005 18:15,4103194285,
1,6/7/2005 18:20,4191264851,
1,6/7/2005 18:25,4107663994,
1,6/7/2005 18:30,3950115059,
1,6/7/2005 18:35,3884135336,
1,6/7/2005 18:40,4106267810,
1,6/7/2005 18:45,3873014865,
1,6/7/2005 18:50,3987571377,
1,6/7/2005 18:55,3772918776,
1,6/7/2005 19:00,3967867664,
1,6/7/2005 19:05,3768411435,
1,6/7/2005 19:10,3524927741,
1,6/7/2005 19:15,3533644824,
1,6/7/2005 19:20,3611084551,
1,6/7/2005 19:25,3718716907,
1,6/7/2005 19:30,3622619626,
1,6/7/2005 19:35,3649115438,
1,6/7/2005 19:40,3824052475,
1,6/7/2005 19:45,3802783518,
1,6/7/2005 19:50,3724816224,
1,6/7/2005 19:55,3658838363,
1,6/7/2005 20:00,3634119585,
1,6/7/2005 20:05,3625261928,
1,6/7/2005 20:10,3670661268,
1,6/7/2005 20:15,3569002593,
1,6/7/2005 20:20,3704103060,
1,6/7/2005 20:25,3600959582,
1,6/7/2005 20:30,3540508801,
1,6/7/2005 20:35,3530136362,
1,6/7/2005 20:40,3586244712,
1,6/7/2005 20:45,3580008115,
1,6/7/2005 20:50,3518283866,
1,6/7/2005 20:55,3490909198,
1,6/7/2005 21:00,3273634716,
1,6/7/2005 21:05,3220012819,
1,6/7/2005 21:10,3268927551,
1,6/7/2005 21:15,3165384774,
1,6/7/2005 21:20,3201339313,
1,6/7/2005 21:25,3168450654,
1,6/7/2005 21:30,3036703512,
1,6/7/2005 21:35,2999785689,
1,6/7/2005 21:40,2931969530,
1,6/7/2005 21:45,3063506195,
1,6/7/2005 21:50,2874825851,
1,6/7/2005 21:55,2756967891,
1,6/7/2005 22:00,2746056942,
1,6/7/2005 22:05,2710922432,
1,6/7/2005 22:10,2687775945,
1,6/7/2005 22:15,2750878241,
1,6/7/2005 22:20,2654607198,
